,Quarter,TotalAssets,Equity,EquityToAssetRatio,BookValuePerShare
0,2019/1Q,3101000000,1056000000,0.333,32.87
2,2019/2Q,3147000000,1082000000,0.336,33.7
3,2019/3Q,3213000000,1051000000,0.319,32.71
4,2019/4Q,3687000000,1425000000,0.38,43.08
5,2020/1Q,3288000000,1055000000,0.314,31.71
6,2020/2Q,3555000000,1096000000,0.304,33.21
8,2020/3Q,3621000000,1074000000,0.292,32.53
9,2020/4Q,3841000000,1095000000,0.281,33.16
10,2021/1Q,3837000000,1131000000,0.295,34.76
11,2021/2Q,4321000000,1239000000,0.287,38.08
12,2021/3Q,4290000000,1297000000,0.301,39.68
14,2021/4Q,4426000000,1166000000,0.263,35.76
15,2022/1Q,4187000000,1103000000,0.263,33.82
16,2022/2Q,4243000000,1098000000,0.258,33.69
17,2022/3Q,4165000000,1080000000,0.259,33.16
18,2022/4Q,4249000000,1055000000,0.248,32.44
19,2023/1Q,4192000000,1061000000,0.253,32.61
20,2023/2Q,4302000000,1112000000,0.259,34.2
21,2023/3Q,4536000000,1513000000,0.334,40.17
22,2023/4Q,4448000000,1575000000,0.354,41.82
